Categories,Model,Feature,Accuracy,F1-Score,Top-1,Top-3,Top-5
50,roberta_base_raw_text,raw_text,0.773,0.7715,0.773,0.8966,0.9317
50,roberta_large_raw_text,raw_text,0.8025,0.8037,0.8025,0.9099,0.9443
