Categories,Model,Feature,Accuracy,F1-Score,Top-1,Top-3,Top-5
50,RoBERTa-Base-raw_text,raw_text,0.766,0.7759,0.766,0.873,0.9018
50,RoBERTa-Large-raw_text,raw_text,0.7772,0.7839,0.7772,0.885,0.9177
