Categories,Model,Feature,Accuracy,F1-Score,Top-1,Top-3,Top-5
50,RoBERTa_Base_raw_text,raw_text,0.773,0.7715,0.773,0.8966,0.9317
50,RoBERTa_Large_raw_text,raw_text,0.8009,0.8017,0.8009,0.9107,0.9467
