Categories,Model,Feature,Accuracy,F1-Score,Top-1,Top-3,Top-5,Training Time,Inference Time
50,BiLSTM-tfidf,tfidf,0.7625,0.7713,0.7625,0.8805,0.9063,91.9225,0.2666
50,BiLSTM-sbert,sbert,0.7617,0.766,0.7617,0.8982,0.9394,27.6103,0.1606
