Categories,Model,Feature,Accuracy,F1-Score,Top-1,Top-3,Top-5
50,RoBERTa-Base-raw_text,raw_text,0.8231,0.8255,0.8231,0.916,0.9338
50,RoBERTa-Large-raw_text,raw_text,0.8158,0.8191,0.8158,0.9063,0.9321
