Categories,Model_Type,Model,Feature,Accuracy,Precision,Recall,F1-Score,Top-1,Top-3,Top-5,Training_Time,Inference_Time
10,ML,LogisticRegression-tfidf,tfidf,0.8233,0.8294,0.8233,0.8227,0.8233,0.97,0.9967,0.2312,0.004
10,ML,RandomForest-tfidf,tfidf,0.7533,0.7442,0.7533,0.7431,0.7533,0.92,0.9633,0.3083,0.0723
10,ML,XGBoost-tfidf,tfidf,0.7667,0.7803,0.7667,0.7683,0.7667,0.94,0.9867,6.3313,0.012
10,ML,LogisticRegression-sbert,sbert,0.84,0.8391,0.84,0.8354,0.84,0.98,0.9933,0.7479,0.0068
10,ML,RandomForest-sbert,sbert,0.8067,0.8064,0.8067,0.8031,0.8067,0.9367,0.9833,1.6478,0.0578
10,ML,XGBoost-sbert,sbert,0.7933,0.7981,0.7933,0.7931,0.7933,0.9667,0.9933,17.4582,0.008
20,ML,LogisticRegression-tfidf,tfidf,0.7418,0.7531,0.7409,0.7425,0.7418,0.9099,0.9636,0.701,0.001
20,ML,RandomForest-tfidf,tfidf,0.6568,0.6584,0.6569,0.6414,0.6568,0.8354,0.8821,0.3091,0.0549
20,ML,XGBoost-tfidf,tfidf,0.6638,0.6757,0.6642,0.6645,0.6638,0.8631,0.9168,19.3777,0.039
20,ML,LogisticRegression-sbert,sbert,0.747,0.7541,0.7469,0.7445,0.747,0.9151,0.9705,3.3833,0.004
20,ML,RandomForest-sbert,sbert,0.695,0.7038,0.6951,0.6893,0.695,0.8752,0.9255,3.6289,0.0965
20,ML,XGBoost-sbert,sbert,0.7418,0.7502,0.7426,0.7435,0.7418,0.9099,0.9705,77.7687,0.018
30,ML,LogisticRegression-tfidf,tfidf,0.7449,0.7601,0.7458,0.7475,0.7449,0.8996,0.9407,1.6962,0.003
30,ML,RandomForest-tfidf,tfidf,0.6191,0.6579,0.6213,0.6002,0.6191,0.786,0.8501,0.3862,0.0844
30,ML,XGBoost-tfidf,tfidf,0.6892,0.6963,0.6911,0.6894,0.6892,0.8513,0.9057,42.077,0.0599
30,ML,LogisticRegression-sbert,sbert,0.74,0.7348,0.7404,0.7298,0.74,0.9069,0.9432,7.5585,0.005
30,ML,RandomForest-sbert,sbert,0.6614,0.6561,0.6617,0.6332,0.6614,0.8247,0.8827,5.5203,0.075
30,ML,XGBoost-sbert,sbert,0.7146,0.7255,0.7148,0.7153,0.7146,0.8827,0.9395,151.6948,0.025
40,ML,LogisticRegression-tfidf,tfidf,0.75,0.7758,0.7539,0.7569,0.75,0.8926,0.9297,3.311,0.004
40,ML,RandomForest-tfidf,tfidf,0.6084,0.6263,0.6193,0.5965,0.6084,0.7662,0.8203,0.4927,0.0761
40,ML,XGBoost-tfidf,tfidf,0.7091,0.7223,0.7151,0.7132,0.7091,0.8546,0.8954,66.9151,0.098
40,ML,LogisticRegression-sbert,sbert,0.7158,0.7151,0.7211,0.7113,0.7158,0.8783,0.9268,12.4886,0.0061
40,ML,RandomForest-sbert,sbert,0.6293,0.6207,0.6356,0.6123,0.6293,0.7909,0.8555,7.3609,0.1133
40,ML,XGBoost-sbert,sbert,0.6977,0.7081,0.7016,0.7005,0.6977,0.8707,0.9249,309.8236,0.052
50,ML,LogisticRegression-tfidf,tfidf,0.734,0.7553,0.7422,0.7429,0.734,0.8874,0.9257,5.4829,0.007
50,ML,RandomForest-tfidf,tfidf,0.5887,0.6496,0.5978,0.5762,0.5887,0.7356,0.7804,0.5802,0.0785
50,ML,XGBoost-tfidf,tfidf,0.6949,0.7144,0.7035,0.7034,0.6949,0.8371,0.8882,96.9276,0.235
50,ML,LogisticRegression-sbert,sbert,0.7133,0.7204,0.7189,0.7085,0.7133,0.881,0.9297,29.4938,0.009
50,ML,RandomForest-sbert,sbert,0.6454,0.6744,0.6511,0.6315,0.6454,0.8083,0.8554,9.1356,0.0775
50,ML,XGBoost-sbert,sbert,0.6941,0.7161,0.7004,0.7034,0.6941,0.8674,0.9129,378.2769,0.075
10,DL,BiLSTM-tfidf,tfidf,0.8267,0.8316,0.8267,0.8221,0.8267,0.95,0.99,88.1919,0.2428
10,DL,BiLSTM-sbert,sbert,0.8233,0.8258,0.8233,0.8204,0.8233,0.97,0.9867,8.0509,0.1215
20,DL,BiLSTM-tfidf,tfidf,0.7244,0.7395,0.7248,0.7271,0.7244,0.8995,0.9341,251.0129,0.204
20,DL,BiLSTM-sbert,sbert,0.7348,0.7511,0.7362,0.7348,0.7348,0.9133,0.9688,9.3189,0.1409
30,DL,BiLSTM-tfidf,tfidf,0.7279,0.7408,0.7293,0.7304,0.7279,0.8622,0.9093,293.8447,0.2946
30,DL,BiLSTM-sbert,sbert,0.7255,0.7308,0.7279,0.7264,0.7255,0.9008,0.9444,22.9575,0.1392
40,DL,BiLSTM-tfidf,tfidf,0.711,0.743,0.7186,0.7236,0.711,0.8365,0.8926,247.7842,0.2501
40,DL,BiLSTM-sbert,sbert,0.7386,0.7471,0.7451,0.7425,0.7386,0.8726,0.9297,28.1531,0.181
50,DL,BiLSTM-tfidf,tfidf,0.7196,0.7432,0.7321,0.7336,0.7196,0.8474,0.8906,294.1721,0.2881
50,DL,BiLSTM-sbert,sbert,0.7212,0.7305,0.7316,0.7262,0.7212,0.8634,0.9081,43.8056,0.2103
