Categories,Model,Feature,Accuracy,F1-Score,Top-1,Top-3,Top-5
50,DeepSeek_RoBERTa_Fusion_Concat,concat,0.7872,0.7839,0.7872,0.9212,0.9552
50,DeepSeek_RoBERTa_Fusion_Average,average,0.7831,0.7815,0.7831,0.9241,0.9572
50,DeepSeek_RoBERTa_Fusion_Weighted,weighted,0.7815,0.777,0.7815,0.9184,0.9471
50,DeepSeek_RoBERTa_Fusion_Gating,gating,0.7823,0.7796,0.7823,0.92,0.9527
