Class,precision,recall,f1-score,support,accuracy,category_name
0,0.68,0.6071428571428571,0.6415094339622641,28.0,0.6071428571428571,Mapping
1,0.7857142857142857,0.5,0.6111111111111112,22.0,0.5,eCommerce
2,0.6875,0.5,0.5789473684210527,22.0,0.5,Messaging
3,0.6153846153846154,0.36363636363636365,0.4571428571428572,22.0,0.36363636363636365,Tools
4,0.7407407407407407,0.9090909090909091,0.8163265306122449,22.0,0.9090909090909091,Payments
5,0.75,0.84,0.7924528301886793,25.0,0.84,Enterprise
6,0.45714285714285713,0.64,0.5333333333333333,25.0,0.64,Government
7,0.8,0.32,0.45714285714285713,25.0,0.32,Financial
8,0.5,0.24,0.32432432432432434,25.0,0.24,Social
9,0.625,0.6,0.6122448979591836,25.0,0.6,Science
10,0.78125,0.8928571428571429,0.8333333333333334,28.0,0.8928571428571429,Telephony
11,0.21428571428571427,0.2,0.20689655172413796,30.0,0.2,Transportation
12,0.8421052631578947,0.7272727272727273,0.7804878048780488,22.0,0.7272727272727273,Sports
13,0.5714285714285714,0.26666666666666666,0.36363636363636365,30.0,0.26666666666666666,Security
14,0.8636363636363636,0.76,0.8085106382978724,25.0,0.76,Email
15,0.48717948717948717,0.6333333333333333,0.5507246376811593,30.0,0.6333333333333333,Search
16,0.6538461538461539,0.7727272727272727,0.7083333333333333,22.0,0.7727272727272727,Travel
17,0.42105263157894735,0.8,0.5517241379310345,30.0,0.8,Reference
18,0.6428571428571429,0.8181818181818182,0.7200000000000001,22.0,0.8181818181818182,Advertising
19,0.5897435897435898,0.7666666666666667,0.6666666666666667,30.0,0.7666666666666667,Video
20,0.75,0.84,0.7924528301886793,25.0,0.84,Data
21,0.0,0.0,0.0,25.0,0.0,Bitcoin
22,0.5192307692307693,0.9,0.6585365853658537,30.0,0.9,Games
23,0.6363636363636364,0.84,0.7241379310344828,25.0,0.84,Project Management
24,0.6451612903225806,0.8,0.7142857142857142,25.0,0.8,Education
25,0.18181818181818182,0.07142857142857142,0.10256410256410255,28.0,0.07142857142857142,Database
26,0.6388888888888888,0.7666666666666667,0.696969696969697,30.0,0.7666666666666667,Cloud
27,0.4782608695652174,0.39285714285714285,0.4313725490196078,28.0,0.39285714285714285,Music
28,0.7727272727272727,0.6071428571428571,0.68,28.0,0.6071428571428571,Photos
29,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0,0.9090909090909091,Other
30,0.5277777777777778,0.6333333333333333,0.5757575757575758,30.0,0.6333333333333333,Stocks
31,0.8666666666666667,0.9285714285714286,0.896551724137931,28.0,0.9285714285714286,Application Development
32,0.7,0.9545454545454546,0.8076923076923077,22.0,0.9545454545454546,Internet of Things
33,0.5454545454545454,0.6,0.5714285714285713,30.0,0.6,Banking
34,0.3,0.1,0.15,30.0,0.1,Backend
35,0.5862068965517241,0.6071428571428571,0.5964912280701754,28.0,0.6071428571428571,Medical
36,0.8,0.7142857142857143,0.7547169811320756,28.0,0.7142857142857143,Shipping
37,0.875,1.0,0.9333333333333333,28.0,1.0,Weather
38,0.8148148148148148,1.0,0.8979591836734693,22.0,1.0,Events
39,0.5294117647058824,0.6,0.5625,30.0,0.6,Analytics
accuracy,0.629277566539924,0.629277566539924,0.629277566539924,0.629277566539924,,accuracy
macro avg,0.6207257935991318,0.6355660173160173,0.6122957971118242,1052.0,,macro avg
weighted avg,0.6114142776195819,0.629277566539924,0.6043297718053955,1052.0,,weighted avg
