Categories,Model,Feature,Accuracy,F1-Score,Top-1,Top-3,Top-5,Training Time,Inference Time
50,BiLSTM_tfidf,tfidf,0.773,0.7856,0.773,0.8837,0.9172,68.7734,0.3792
50,BiLSTM_sbert,sbert,0.7326,0.7306,0.7326,0.8837,0.9326,6.6676,0.1949
