Class,precision,recall,f1-score,support,accuracy,category_name
0,0.6333333333333333,0.7037037037037037,0.6666666666666667,27.0,0.7037037037037037,Mapping
1,0.8461538461538461,0.88,0.8627450980392156,25.0,0.88,eCommerce
2,0.6666666666666666,0.88,0.7586206896551725,25.0,0.88,Messaging
3,0.6666666666666666,0.48,0.5581395348837209,25.0,0.48,Tools
4,0.7222222222222222,0.52,0.6046511627906976,25.0,0.52,Payments
5,0.8260869565217391,0.76,0.7916666666666667,25.0,0.76,Enterprise
6,0.8666666666666667,0.9285714285714286,0.896551724137931,28.0,0.9285714285714286,Government
7,0.45161290322580644,0.4666666666666667,0.45901639344262296,30.0,0.4666666666666667,Financial
8,0.8333333333333334,0.6666666666666666,0.7407407407407408,30.0,0.6666666666666666,Social
9,0.7407407407407407,0.8,0.7692307692307692,25.0,0.8,Science
10,0.6666666666666666,0.8666666666666667,0.7536231884057971,30.0,0.8666666666666667,Telephony
11,0.7352941176470589,0.8333333333333334,0.78125,30.0,0.8333333333333334,Transportation
12,0.7647058823529411,0.8666666666666667,0.8125,30.0,0.8666666666666667,Sports
13,0.9615384615384616,1.0,0.9803921568627451,25.0,1.0,Security
14,0.5555555555555556,0.2,0.29411764705882354,25.0,0.2,Email
15,0.7567567567567568,0.9333333333333333,0.835820895522388,30.0,0.9333333333333333,Search
16,0.8518518518518519,0.92,0.8846153846153846,25.0,0.92,Travel
17,0.9615384615384616,1.0,0.9803921568627451,25.0,1.0,Reference
18,0.42105263157894735,0.2962962962962963,0.34782608695652173,27.0,0.2962962962962963,Advertising
19,0.7941176470588235,0.9,0.84375,30.0,0.9,Video
20,0.5806451612903226,0.6428571428571429,0.6101694915254238,28.0,0.6428571428571429,Data
21,0.6470588235294118,0.7857142857142857,0.7096774193548386,28.0,0.7857142857142857,Bitcoin
22,0.5416666666666666,0.43333333333333335,0.4814814814814815,30.0,0.43333333333333335,Games
23,1.0,0.9285714285714286,0.962962962962963,28.0,0.9285714285714286,Project Management
24,0.75,0.8,0.7741935483870969,30.0,0.8,Education
25,0.5789473684210527,0.36666666666666664,0.44897959183673464,30.0,0.36666666666666664,Database
26,0.8214285714285714,0.8518518518518519,0.8363636363636364,27.0,0.8518518518518519,Cloud
27,0.8846153846153846,0.8518518518518519,0.8679245283018868,27.0,0.8518518518518519,Music
28,0.7586206896551724,0.8148148148148148,0.7857142857142857,27.0,0.8148148148148148,Photos
29,0.7575757575757576,0.8333333333333334,0.7936507936507938,30.0,0.8333333333333334,Other
accuracy,0.7400241837968561,0.7400241837968561,0.7400241837968561,0.7400241837968561,,accuracy
macro avg,0.7347706597086294,0.7403633156966489,0.7297811567372584,827.0,,macro avg
weighted avg,0.7322280452910259,0.7400241837968561,0.728546524694355,827.0,,weighted avg
