Class,precision,recall,f1-score,support,accuracy,category_name
0,0.75,0.6666666666666666,0.7058823529411765,27.0,0.6666666666666666,Mapping
1,0.9090909090909091,0.8,0.8510638297872342,25.0,0.8,eCommerce
2,0.6774193548387096,0.84,0.75,25.0,0.84,Messaging
3,0.6666666666666666,0.48,0.5581395348837209,25.0,0.48,Tools
4,0.9375,0.6,0.7317073170731707,25.0,0.6,Payments
5,0.7619047619047619,0.64,0.6956521739130435,25.0,0.64,Enterprise
6,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0,0.9285714285714286,Government
7,0.4722222222222222,0.5666666666666667,0.5151515151515152,30.0,0.5666666666666667,Financial
8,0.6774193548387096,0.7,0.6885245901639343,30.0,0.7,Social
9,0.782608695652174,0.72,0.7499999999999999,25.0,0.72,Science
10,0.631578947368421,0.8,0.7058823529411765,30.0,0.8,Telephony
11,0.78125,0.8333333333333334,0.8064516129032259,30.0,0.8333333333333334,Transportation
12,0.7647058823529411,0.8666666666666667,0.8125,30.0,0.8666666666666667,Sports
13,0.9565217391304348,0.88,0.9166666666666666,25.0,0.88,Security
14,0.5909090909090909,0.52,0.5531914893617023,25.0,0.52,Email
15,0.78125,0.8333333333333334,0.8064516129032259,30.0,0.8333333333333334,Search
16,0.6666666666666666,0.8,0.7272727272727272,25.0,0.8,Travel
17,0.8260869565217391,0.76,0.7916666666666667,25.0,0.76,Reference
18,0.36666666666666664,0.4074074074074074,0.38596491228070173,27.0,0.4074074074074074,Advertising
19,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0,0.7666666666666667,Video
20,0.47058823529411764,0.5714285714285714,0.5161290322580646,28.0,0.5714285714285714,Data
21,0.6176470588235294,0.75,0.6774193548387097,28.0,0.75,Bitcoin
22,0.5384615384615384,0.4666666666666667,0.5,30.0,0.4666666666666667,Games
23,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0,0.9285714285714286,Project Management
24,0.7419354838709677,0.7666666666666667,0.7540983606557377,30.0,0.7666666666666667,Education
25,0.5263157894736842,0.3333333333333333,0.4081632653061224,30.0,0.3333333333333333,Database
26,0.88,0.8148148148148148,0.8461538461538461,27.0,0.8148148148148148,Cloud
27,0.9230769230769231,0.8888888888888888,0.9056603773584906,27.0,0.8888888888888888,Music
28,0.7096774193548387,0.8148148148148148,0.7586206896551724,27.0,0.8148148148148148,Photos
29,0.7,0.7,0.7,30.0,0.7,Other
accuracy,0.7146311970979444,0.7146311970979444,0.7146311970979444,0.7146311970979444,,accuracy
macro avg,0.7255457140462256,0.7148165784832449,0.7153035640609559,827.0,,macro avg
weighted avg,0.7222085441790784,0.7146311970979444,0.7136691781974871,827.0,,weighted avg
