Class,precision,recall,f1-score,support,accuracy,category_name
0,0.72,0.6666666666666666,0.6923076923076923,27.0,0.6666666666666666,Mapping
1,0.88,0.88,0.88,25.0,0.88,eCommerce
2,0.7777777777777778,0.84,0.8076923076923077,25.0,0.84,Messaging
3,0.8888888888888888,0.64,0.7441860465116279,25.0,0.64,Tools
4,0.7,0.56,0.6222222222222222,25.0,0.56,Payments
5,0.7692307692307693,0.8,0.7843137254901961,25.0,0.8,Enterprise
6,0.96,0.8571428571428571,0.9056603773584904,28.0,0.8571428571428571,Government
7,0.5666666666666667,0.5666666666666667,0.5666666666666667,30.0,0.5666666666666667,Financial
8,0.8461538461538461,0.7333333333333333,0.7857142857142856,30.0,0.7333333333333333,Social
9,0.75,0.84,0.7924528301886793,25.0,0.84,Science
10,0.7142857142857143,0.8333333333333334,0.7692307692307692,30.0,0.8333333333333334,Telephony
11,0.78125,0.8333333333333334,0.8064516129032259,30.0,0.8333333333333334,Transportation
12,0.7647058823529411,0.8666666666666667,0.8125,30.0,0.8666666666666667,Sports
13,0.9166666666666666,0.88,0.8979591836734694,25.0,0.88,Security
14,0.6666666666666666,0.4,0.5,25.0,0.4,Email
15,0.7428571428571429,0.8666666666666667,0.8,30.0,0.8666666666666667,Search
16,0.8636363636363636,0.76,0.8085106382978724,25.0,0.76,Travel
17,0.8620689655172413,1.0,0.9259259259259259,25.0,1.0,Reference
18,0.5,0.5185185185185185,0.509090909090909,27.0,0.5185185185185185,Advertising
19,0.6486486486486487,0.8,0.7164179104477612,30.0,0.8,Video
20,0.6333333333333333,0.6785714285714286,0.6551724137931035,28.0,0.6785714285714286,Data
21,0.5882352941176471,0.7142857142857143,0.6451612903225806,28.0,0.7142857142857143,Bitcoin
22,0.6296296296296297,0.5666666666666667,0.5964912280701755,30.0,0.5666666666666667,Games
23,0.9583333333333334,0.8214285714285714,0.8846153846153847,28.0,0.8214285714285714,Project Management
24,0.5428571428571428,0.6333333333333333,0.5846153846153846,30.0,0.6333333333333333,Education
25,0.3333333333333333,0.36666666666666664,0.3492063492063492,30.0,0.36666666666666664,Database
26,0.9,0.6666666666666666,0.7659574468085106,27.0,0.6666666666666666,Cloud
27,0.8461538461538461,0.8148148148148148,0.830188679245283,27.0,0.8148148148148148,Music
28,0.7407407407407407,0.7407407407407407,0.7407407407407407,27.0,0.7407407407407407,Photos
29,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0,0.7333333333333333,Other
accuracy,0.727932285368803,0.727932285368803,0.727932285368803,0.727932285368803,,accuracy
macro avg,0.7408484662060558,0.729294532627866,0.7304261784824315,827.0,,macro avg
weighted avg,0.7363826498322563,0.727932285368803,0.727655587542223,827.0,,weighted avg
