Class,precision,recall,f1-score,support,accuracy,category_name
0,0.8823529411764706,0.5555555555555556,0.6818181818181819,27.0,0.5555555555555556,Mapping
1,0.8571428571428571,0.8888888888888888,0.8727272727272727,27.0,0.8888888888888888,eCommerce
2,0.5714285714285714,0.4,0.47058823529411764,30.0,0.4,Messaging
3,0.8888888888888888,0.8,0.8421052631578948,30.0,0.8,Tools
4,0.696969696969697,0.7666666666666667,0.7301587301587302,30.0,0.7666666666666667,Payments
5,0.5897435897435898,0.7666666666666667,0.6666666666666667,30.0,0.7666666666666667,Enterprise
6,0.5945945945945946,0.7333333333333333,0.6567164179104478,30.0,0.7333333333333333,Government
7,0.6521739130434783,1.0,0.7894736842105263,30.0,1.0,Financial
8,0.47368421052631576,0.32142857142857145,0.3829787234042553,28.0,0.32142857142857145,Social
9,0.6857142857142857,0.8,0.7384615384615385,30.0,0.8,Science
10,0.7,0.5185185185185185,0.5957446808510639,27.0,0.5185185185185185,Telephony
11,0.782608695652174,0.6666666666666666,0.72,27.0,0.6666666666666666,Transportation
12,0.7037037037037037,0.6333333333333333,0.6666666666666667,30.0,0.6333333333333333,Sports
13,1.0,0.8148148148148148,0.8979591836734693,27.0,0.8148148148148148,Security
14,0.6060606060606061,0.6666666666666666,0.6349206349206349,30.0,0.6666666666666666,Email
15,0.5,0.3333333333333333,0.4,30.0,0.3333333333333333,Search
16,0.6486486486486487,0.8571428571428571,0.7384615384615384,28.0,0.8571428571428571,Travel
17,0.8076923076923077,0.75,0.7777777777777779,28.0,0.75,Reference
18,0.8666666666666667,0.9285714285714286,0.896551724137931,28.0,0.9285714285714286,Advertising
19,0.5675675675675675,0.7,0.626865671641791,30.0,0.7,Video
accuracy,0.6949740034662045,0.6949740034662045,0.6949740034662045,0.6949740034662045,,accuracy
macro avg,0.7037820872610212,0.6950793650793651,0.6893321295970253,577.0,,macro avg
weighted avg,0.7001898703771755,0.6949740034662045,0.6875268462278027,577.0,,weighted avg
