Class,precision,recall,f1-score,support,accuracy,category_name
0,0.9523809523809523,0.7407407407407407,0.8333333333333334,27.0,0.7407407407407407,Mapping
1,0.7777777777777778,0.7777777777777778,0.7777777777777778,27.0,0.7777777777777778,eCommerce
2,0.6363636363636364,0.7,0.6666666666666666,30.0,0.7,Messaging
3,0.9230769230769231,0.8,0.8571428571428571,30.0,0.8,Tools
4,0.6875,0.7333333333333333,0.7096774193548386,30.0,0.7333333333333333,Payments
5,0.6666666666666666,0.8,0.7272727272727272,30.0,0.8,Enterprise
6,0.71875,0.7666666666666667,0.7419354838709677,30.0,0.7666666666666667,Government
7,0.7777777777777778,0.9333333333333333,0.8484848484848485,30.0,0.9333333333333333,Financial
8,0.5384615384615384,0.5,0.5185185185185186,28.0,0.5,Social
9,0.7352941176470589,0.8333333333333334,0.78125,30.0,0.8333333333333334,Science
10,0.6923076923076923,0.6666666666666666,0.6792452830188679,27.0,0.6666666666666666,Telephony
11,0.8260869565217391,0.7037037037037037,0.76,27.0,0.7037037037037037,Transportation
12,0.8214285714285714,0.7666666666666667,0.793103448275862,30.0,0.7666666666666667,Sports
13,1.0,0.6666666666666666,0.8,27.0,0.6666666666666666,Security
14,0.6571428571428571,0.7666666666666667,0.7076923076923077,30.0,0.7666666666666667,Email
15,0.5666666666666667,0.5666666666666667,0.5666666666666667,30.0,0.5666666666666667,Search
16,0.75,0.75,0.75,28.0,0.75,Travel
17,0.7916666666666666,0.6785714285714286,0.7307692307692307,28.0,0.6785714285714286,Reference
18,0.875,1.0,0.9333333333333333,28.0,1.0,Advertising
19,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.0,0.6666666666666666,Video
accuracy,0.7417677642980935,0.7417677642980935,0.7417677642980935,0.7417677642980935,,accuracy
macro avg,0.7530507733776595,0.7408730158730158,0.7424768284422735,577.0,,macro avg
weighted avg,0.7507357841930241,0.7417677642980935,0.7418887100827245,577.0,,weighted avg
