Class,precision,recall,f1-score,support,accuracy,category_name
0,0.6666666666666666,0.6666666666666666,0.6666666666666666,27.0,0.6666666666666666,Mapping
1,0.6363636363636364,0.6363636363636364,0.6363636363636364,22.0,0.6363636363636364,eCommerce
2,0.6875,0.5,0.5789473684210527,22.0,0.5,Messaging
3,0.625,0.7142857142857143,0.6666666666666666,21.0,0.7142857142857143,Tools
4,0.875,0.9545454545454546,0.9130434782608695,22.0,0.9545454545454546,Payments
5,0.8275862068965517,0.96,0.888888888888889,25.0,0.96,Enterprise
6,0.9090909090909091,1.0,0.9523809523809523,20.0,1.0,Government
7,0.6,0.84,0.7000000000000001,25.0,0.84,Financial
8,0.64,0.64,0.64,25.0,0.64,Social
9,0.6923076923076923,0.72,0.7058823529411765,25.0,0.72,Science
10,1.0,0.95,0.9743589743589743,20.0,0.95,Telephony
11,0.8260869565217391,0.76,0.7916666666666667,25.0,0.76,Video
12,0.7575757575757576,0.8928571428571429,0.819672131147541,28.0,0.8928571428571429,Advertising
13,0.37037037037037035,0.3333333333333333,0.3508771929824561,30.0,0.3333333333333333,Search
14,0.8823529411764706,0.75,0.8108108108108107,20.0,0.75,Travel
15,0.9,0.8181818181818182,0.8571428571428572,22.0,0.8181818181818182,Transportation
16,0.8636363636363636,0.95,0.9047619047619048,20.0,0.95,Email
17,0.8,0.5333333333333333,0.64,30.0,0.5333333333333333,Reference
18,1.0,0.8,0.888888888888889,25.0,0.8,Sports
19,0.5945945945945946,0.7333333333333333,0.6567164179104478,30.0,0.7333333333333333,Photos
20,0.8095238095238095,0.85,0.8292682926829269,20.0,0.85,Cloud
21,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0,0.8181818181818182,Music
22,0.6451612903225806,0.6666666666666666,0.6557377049180327,30.0,0.6666666666666666,Education
23,0.9230769230769231,0.6,0.7272727272727274,20.0,0.6,Project Management
24,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0,0.9090909090909091,Games
25,0.7741935483870968,0.8,0.7868852459016393,30.0,0.8,Database
26,0.7692307692307693,0.8,0.7843137254901961,25.0,0.8,Data
27,0.95,0.95,0.9500000000000001,20.0,0.95,Bitcoin
28,0.7058823529411765,0.6,0.6486486486486486,20.0,0.6,Events
29,1.0,1.0,1.0,22.0,1.0,Analytics
30,0.7741935483870968,0.8,0.7868852459016393,30.0,0.8,Stocks
31,0.6,0.72,0.6545454545454547,25.0,0.72,Banking
32,0.8846153846153846,0.92,0.9019607843137256,25.0,0.92,Internet of Things
33,0.9444444444444444,0.85,0.8947368421052632,20.0,0.85,Medical
34,0.4117647058823529,0.25,0.3111111111111111,28.0,0.25,Application Development
35,0.7586206896551724,0.7333333333333333,0.7457627118644068,30.0,0.7333333333333333,Shipping
36,0.6129032258064516,0.6785714285714286,0.6440677966101694,28.0,0.6785714285714286,Other
37,0.8333333333333334,0.7142857142857143,0.7692307692307692,21.0,0.7142857142857143,Security
38,0.9444444444444444,0.7727272727272727,0.85,22.0,0.7727272727272727,Backend
39,1.0,1.0,1.0,30.0,1.0,Storage
40,0.8888888888888888,0.8571428571428571,0.8727272727272727,28.0,0.8571428571428571,Office
41,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0,0.9090909090909091,Media
42,0.8125,0.65,0.7222222222222223,20.0,0.65,File Sharing
43,0.5675675675675675,0.7,0.626865671641791,30.0,0.7,Images
44,0.29411764705882354,0.3333333333333333,0.3125,30.0,0.3333333333333333,Real Estate
45,0.9,0.6428571428571429,0.75,28.0,0.6428571428571429,Entertainment
46,0.7941176470588235,0.9642857142857143,0.8709677419354839,28.0,0.9642857142857143,Chat
47,0.6875,0.7857142857142857,0.7333333333333334,28.0,0.7857142857142857,News Services
48,1.0,1.0,1.0,20.0,1.0,Domains
49,0.6216216216216216,0.7666666666666667,0.6865671641791045,30.0,0.7666666666666667,Weather
accuracy,0.7552504038772213,0.7552504038772213,0.7552504038772213,0.7552504038772213,,accuracy
macro avg,0.7756089731212447,0.7638969696969697,0.7647175818290479,1238.0,,macro avg
weighted avg,0.7624259808960406,0.7552504038772213,0.7537382460482153,1238.0,,weighted avg
