Class,precision,recall,f1-score,support,accuracy,category_name
0,0.8571428571428571,0.6428571428571429,0.7346938775510204,28.0,0.6428571428571429,Mapping
1,0.6956521739130435,0.7272727272727273,0.711111111111111,22.0,0.7272727272727273,Social
2,0.7647058823529411,0.5909090909090909,0.6666666666666667,22.0,0.5909090909090909,eCommerce
3,0.6363636363636364,0.6363636363636364,0.6363636363636364,22.0,0.6363636363636364,Messaging
4,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0,0.8181818181818182,Tools
5,0.8846153846153846,0.92,0.9019607843137256,25.0,0.92,Payments
6,0.8636363636363636,0.95,0.9047619047619048,20.0,0.95,Enterprise
7,0.7,0.84,0.7636363636363636,25.0,0.84,Government
8,0.6521739130434783,0.6,0.6250000000000001,25.0,0.6,Financial
9,0.625,0.6,0.6122448979591836,25.0,0.6,Science
10,0.9047619047619048,0.95,0.9268292682926829,20.0,0.95,Telephony
11,0.8181818181818182,0.72,0.7659574468085107,25.0,0.72,Video
12,0.7575757575757576,0.8928571428571429,0.819672131147541,28.0,0.8928571428571429,Search
13,0.3783783783783784,0.4666666666666667,0.417910447761194,30.0,0.4666666666666667,Advertising
14,0.8823529411764706,0.75,0.8108108108108107,20.0,0.75,Reference
15,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0,0.8181818181818182,Travel
16,0.8947368421052632,0.85,0.8717948717948718,20.0,0.85,Transportation
17,0.7142857142857143,0.5,0.588235294117647,30.0,0.5,Email
18,0.85,0.68,0.7555555555555556,25.0,0.68,Security
19,0.5652173913043478,0.8666666666666667,0.6842105263157895,30.0,0.8666666666666667,Sports
20,0.8666666666666667,0.65,0.7428571428571429,20.0,0.65,Photos
21,0.8,0.9090909090909091,0.8510638297872342,22.0,0.9090909090909091,Music
22,0.6486486486486487,0.8,0.7164179104477612,30.0,0.8,Cloud
23,0.875,0.7,0.7777777777777777,20.0,0.7,Other
24,0.875,0.6363636363636364,0.7368421052631579,22.0,0.6363636363636364,Database
25,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0,0.7333333333333333,Education
26,0.8571428571428571,0.96,0.9056603773584904,25.0,0.96,Project Management
27,0.8888888888888888,0.8,0.8421052631578948,20.0,0.8,Games
28,0.8095238095238095,0.85,0.8292682926829269,20.0,0.85,Bitcoin
29,0.5333333333333333,0.32,0.4,25.0,0.32,Data
30,0.6511627906976745,0.9333333333333333,0.767123287671233,30.0,0.9333333333333333,Analytics
31,0.6785714285714286,0.76,0.7169811320754718,25.0,0.76,Events
32,0.8695652173913043,0.8,0.8333333333333333,25.0,0.8,Weather
33,0.8823529411764706,0.75,0.8108108108108107,20.0,0.75,Shipping
34,0.4,0.2857142857142857,0.3333333333333333,28.0,0.2857142857142857,Medical
35,0.7142857142857143,0.8333333333333334,0.7692307692307692,30.0,0.8333333333333334,Stocks
36,0.4583333333333333,0.39285714285714285,0.4230769230769231,28.0,0.39285714285714285,Banking
37,0.6521739130434783,0.5357142857142857,0.5882352941176471,28.0,0.5357142857142857,Backend
38,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0,0.9090909090909091,Internet of Things
39,0.575,0.7666666666666667,0.6571428571428571,30.0,0.7666666666666667,Application Development
40,0.9583333333333334,0.8214285714285714,0.8846153846153847,28.0,0.8214285714285714,Storage
41,0.9130434782608695,0.9545454545454546,0.9333333333333332,22.0,0.9545454545454546,Media
42,0.8947368421052632,0.85,0.8717948717948718,20.0,0.85,Office
43,0.696969696969697,0.7666666666666667,0.7301587301587302,30.0,0.7666666666666667,Chat
44,0.3,0.3,0.3,30.0,0.3,News Services
45,0.8333333333333334,0.7142857142857143,0.7692307692307692,28.0,0.7142857142857143,Entertainment
46,0.92,0.8214285714285714,0.8679245283018867,28.0,0.8214285714285714,Real Estate
47,0.7666666666666667,0.8214285714285714,0.793103448275862,28.0,0.8214285714285714,Images
48,0.88,1.0,0.9361702127659575,22.0,1.0,File Sharing
49,0.475,0.6333333333333333,0.5428571428571427,30.0,0.6333333333333333,Domains
accuracy,0.7284345047923323,0.7284345047923323,0.7284345047923323,0.7284345047923323,,accuracy
macro avg,0.7514178960918219,0.7365714285714285,0.7378227261774558,1252.0,,macro avg
weighted avg,0.737299344478122,0.7284345047923323,0.7263633720603901,1252.0,,weighted avg
