Class,precision,recall,f1-score,support,accuracy,category_name
0,0.8181818181818182,0.6666666666666666,0.7346938775510203,27.0,0.6666666666666666,Mapping
1,0.5862068965517241,0.7727272727272727,0.6666666666666667,22.0,0.7727272727272727,Enterprise
2,0.5909090909090909,0.5909090909090909,0.5909090909090909,22.0,0.5909090909090909,eCommerce
3,0.5789473684210527,0.5238095238095238,0.5500000000000002,21.0,0.5238095238095238,Financial
4,0.7692307692307693,0.9090909090909091,0.8333333333333333,22.0,0.9090909090909091,Government
5,0.88,0.88,0.88,25.0,0.88,Social
6,0.9090909090909091,1.0,0.9523809523809523,20.0,1.0,Payments
7,0.8571428571428571,0.72,0.782608695652174,25.0,0.72,Tools
8,0.7368421052631579,0.56,0.6363636363636364,25.0,0.56,Messaging
9,0.68,0.68,0.68,25.0,0.68,Science
10,1.0,0.9,0.9473684210526316,20.0,0.9,Telephony
11,0.8333333333333334,0.6,0.6976744186046512,25.0,0.6,Video
12,0.8275862068965517,0.8571428571428571,0.8421052631578947,28.0,0.8571428571428571,Search
13,0.4782608695652174,0.36666666666666664,0.41509433962264153,30.0,0.36666666666666664,Advertising
14,0.625,0.75,0.6818181818181818,20.0,0.75,Reference
15,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0,0.8636363636363636,Travel
16,0.6896551724137931,1.0,0.8163265306122449,20.0,1.0,Transportation
17,0.6551724137931034,0.6333333333333333,0.6440677966101694,30.0,0.6333333333333333,Email
18,0.8260869565217391,0.76,0.7916666666666667,25.0,0.76,Sports
19,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.0,0.6666666666666666,Project Management
20,0.7407407407407407,1.0,0.851063829787234,20.0,1.0,Data
21,0.7727272727272727,0.7727272727272727,0.7727272727272727,22.0,0.7727272727272727,Games
22,0.6923076923076923,0.9,0.7826086956521738,30.0,0.9,Bitcoin
23,0.6875,0.55,0.6111111111111112,20.0,0.55,Education
24,0.8333333333333334,0.9090909090909091,0.8695652173913043,22.0,0.9090909090909091,Cloud
25,0.896551724137931,0.8666666666666667,0.8813559322033899,30.0,0.8666666666666667,Music
26,0.9473684210526315,0.72,0.8181818181818181,25.0,0.72,Photos
27,1.0,1.0,1.0,20.0,1.0,Database
28,0.7647058823529411,0.65,0.7027027027027027,20.0,0.65,Internet of Things
29,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0,0.9545454545454546,Shipping
30,0.6944444444444444,0.8333333333333334,0.7575757575757577,30.0,0.8333333333333334,Application Development
31,0.9565217391304348,0.88,0.9166666666666666,25.0,0.88,Events
32,0.7,0.84,0.7636363636363636,25.0,0.84,Banking
33,0.9444444444444444,0.85,0.8947368421052632,20.0,0.85,Stocks
34,0.2962962962962963,0.2857142857142857,0.2909090909090909,28.0,0.2857142857142857,Medical
35,0.6756756756756757,0.8333333333333334,0.746268656716418,30.0,0.8333333333333334,Analytics
36,0.6956521739130435,0.5714285714285714,0.6274509803921569,28.0,0.5714285714285714,Other
37,0.8095238095238095,0.8095238095238095,0.8095238095238095,21.0,0.8095238095238095,Security
38,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0,0.9545454545454546,Backend
39,0.967741935483871,1.0,0.9836065573770492,30.0,1.0,News Services
40,0.9,0.9642857142857143,0.9310344827586207,28.0,0.9642857142857143,Domains
41,1.0,0.9090909090909091,0.9523809523809523,22.0,0.9090909090909091,File Sharing
42,0.6363636363636364,0.7,0.6666666666666666,20.0,0.7,Images
43,0.8275862068965517,0.8,0.8135593220338982,30.0,0.8,Real Estate
44,0.34782608695652173,0.26666666666666666,0.30188679245283023,30.0,0.26666666666666666,Entertainment
45,0.76,0.6785714285714286,0.7169811320754718,28.0,0.6785714285714286,Chat
46,0.7352941176470589,0.8928571428571429,0.806451612903226,28.0,0.8928571428571429,Media
47,0.7241379310344828,0.75,0.736842105263158,28.0,0.75,Storage
48,1.0,1.0,1.0,20.0,1.0,Office
49,0.7241379310344828,0.7,0.711864406779661,30.0,0.7,Weather
accuracy,0.7625201938610663,0.7625201938610663,0.7625201938610663,0.7625201938610663,,accuracy
macro avg,0.771060954866638,0.7708606060606061,0.7663983030993232,1238.0,,macro avg
weighted avg,0.7639508452853049,0.7625201938610663,0.7587651136531597,1238.0,,weighted avg
