Categories,Model_Type,Model,Feature,Accuracy,Precision,Recall,F1-Score,Top-1,Top-3,Top-5,Training_Time,Inference_Time
50,ML,LogisticRegression,tfidf,0.8037,0.8319,0.8071,0.8141,0.8037,0.9216,0.9467,8.7826,0.0095
50,ML,RandomForest,tfidf,0.7617,0.7776,0.7712,0.7667,0.7617,0.9006,0.9281,0.9374,0.0946
50,ML,XGBoost,tfidf,0.7472,0.77,0.7544,0.7582,0.7472,0.874,0.9136,46.3114,0.1138
50,ML,LogisticRegression,sbert,0.7795,0.787,0.7838,0.7809,0.7795,0.9208,0.9572,3.1115,0.0101
50,ML,RandomForest,sbert,0.7237,0.7307,0.7345,0.7246,0.7237,0.8506,0.8966,0.8589,0.0836
50,ML,XGBoost,sbert,0.7237,0.7376,0.7287,0.7295,0.7237,0.891,0.9378,46.785,0.018
50,DL,BiLSTM,tfidf,0.7617,0.7778,0.7708,0.7703,0.7617,0.8901,0.9273,99.9675,0.2968
50,DL,BiLSTM,sbert,0.7528,0.7619,0.759,0.7531,0.7528,0.8869,0.9338,7.1719,0.1514
50,BERT,RoBERTa_Base_raw,text,0.769,0.7775,0.7748,0.7661,0.769,0.899,0.937,638.9658,7.9406
50,BERT,RoBERTa_Large_raw,text,0.7973,0.8024,0.8023,0.7969,0.7973,0.9168,0.9459,2094.1314,25.4109
50,FUSION,DeepSeek_RoBERTa_Fusion,Concat,0.8118,0.8154,0.8165,0.8116,0.8118,0.9386,0.9717,2438.5056,16.047
50,FUSION,DeepSeek_RoBERTa_Fusion,Average,0.8029,0.808,0.807,0.802,0.8029,0.9402,0.9677,2444.4517,16.0273
50,FUSION,DeepSeek_RoBERTa_Fusion,Weighted,0.7997,0.8067,0.8035,0.7983,0.7997,0.9378,0.9645,2447.7611,16.0173
50,FUSION,DeepSeek_RoBERTa_Fusion,Gating,0.7997,0.8038,0.8039,0.8001,0.7997,0.9362,0.9645,2467.4706,16.1038
