Class,precision,recall,f1-score,support,accuracy,category_name
0,0.8,0.7142857142857143,0.7547169811320756,28.0,0.7142857142857143,Mapping
1,0.6842105263157895,0.5909090909090909,0.6341463414634148,22.0,0.5909090909090909,eCommerce
2,0.6842105263157895,0.5909090909090909,0.6341463414634148,22.0,0.5909090909090909,Messaging
3,0.5,0.6818181818181818,0.576923076923077,22.0,0.6818181818181818,Tools
4,0.95,0.8636363636363636,0.9047619047619048,22.0,0.8636363636363636,Payments
5,1.0,0.92,0.9583333333333334,25.0,0.92,Enterprise
6,0.9473684210526315,0.9,0.9230769230769231,20.0,0.9,Government
7,0.6785714285714286,0.76,0.7169811320754718,25.0,0.76,Financial
8,0.6086956521739131,0.56,0.5833333333333334,25.0,0.56,Social
9,0.7894736842105263,0.6,0.6818181818181819,25.0,0.6,Science
10,0.95,0.95,0.9500000000000001,20.0,0.95,Telephony
11,0.7142857142857143,0.8,0.7547169811320756,25.0,0.8,Transportation
12,0.76,0.6785714285714286,0.7169811320754718,28.0,0.6785714285714286,Sports
13,0.2727272727272727,0.4,0.3243243243243243,30.0,0.4,Security
14,0.8095238095238095,0.85,0.8292682926829269,20.0,0.85,Email
15,0.95,0.8636363636363636,0.9047619047619048,22.0,0.8636363636363636,Search
16,1.0,0.9,0.9473684210526316,20.0,0.9,Travel
17,0.8636363636363636,0.6333333333333333,0.7307692307692307,30.0,0.6333333333333333,Reference
18,0.7916666666666666,0.76,0.7755102040816326,25.0,0.76,Advertising
19,0.696969696969697,0.7666666666666667,0.7301587301587302,30.0,0.7666666666666667,Video
20,0.7058823529411765,0.6,0.6486486486486486,20.0,0.6,Data
21,0.8695652173913043,0.9090909090909091,0.888888888888889,22.0,0.9090909090909091,Bitcoin
22,0.84,0.7,0.7636363636363636,30.0,0.7,Games
23,0.7368421052631579,0.7,0.717948717948718,20.0,0.7,Project Management
24,0.8947368421052632,0.7727272727272727,0.8292682926829269,22.0,0.7727272727272727,Education
25,0.7241379310344828,0.7,0.711864406779661,30.0,0.7,Database
26,0.8214285714285714,0.92,0.8679245283018867,25.0,0.92,Cloud
27,0.9411764705882353,0.8,0.8648648648648648,20.0,0.8,Music
28,0.85,0.85,0.85,20.0,0.85,Photos
29,0.5217391304347826,0.48,0.4999999999999999,25.0,0.48,Other
30,0.6428571428571429,0.9,0.75,30.0,0.9,Stocks
31,0.7407407407407407,0.8,0.7692307692307692,25.0,0.8,Application Development
32,0.6551724137931034,0.76,0.7037037037037037,25.0,0.76,Internet of Things
33,0.85,0.85,0.85,20.0,0.85,Banking
34,0.5,0.35714285714285715,0.41666666666666663,28.0,0.35714285714285715,Backend
35,0.6428571428571429,0.6,0.6206896551724138,30.0,0.6,Medical
36,0.5263157894736842,0.35714285714285715,0.425531914893617,28.0,0.35714285714285715,Shipping
37,0.625,0.5357142857142857,0.576923076923077,28.0,0.5357142857142857,Weather
38,0.84,0.9545454545454546,0.8936170212765958,22.0,0.9545454545454546,Events
39,0.6060606060606061,0.6666666666666666,0.6349206349206349,30.0,0.6666666666666666,Analytics
40,0.8275862068965517,0.8571428571428571,0.8421052631578947,28.0,0.8571428571428571,Storage
41,1.0,1.0,1.0,22.0,1.0,Media
42,0.8181818181818182,0.9,0.8571428571428572,20.0,0.9,Office
43,0.5128205128205128,0.6666666666666666,0.5797101449275363,30.0,0.6666666666666666,Chat
44,0.25806451612903225,0.26666666666666666,0.26229508196721313,30.0,0.26666666666666666,News Services
45,0.8260869565217391,0.6785714285714286,0.7450980392156864,28.0,0.6785714285714286,Entertainment
46,0.7096774193548387,0.7857142857142857,0.7457627118644068,28.0,0.7857142857142857,Real Estate
47,0.7333333333333333,0.7857142857142857,0.7586206896551724,28.0,0.7857142857142857,Images
48,0.88,1.0,0.9361702127659575,22.0,1.0,File Sharing
49,0.6060606060606061,0.6666666666666666,0.6349206349206349,30.0,0.6666666666666666,Domains
accuracy,0.7196485623003195,0.7196485623003195,0.7196485623003195,0.7196485623003195,,accuracy
macro avg,0.7431532717743486,0.7320787878787879,0.7335650112115372,1252.0,,macro avg
weighted avg,0.7295475268101452,0.7196485623003195,0.7203037411317933,1252.0,,weighted avg
