Categories,Model,Feature,Accuracy,F1-Score,Top-1,Top-3,Top-5,Training Time,Inference Time
50,BiLSTM-tfidf,tfidf,0.7561,0.7674,0.7561,0.878,0.9192,195.8757,0.3302
50,BiLSTM-sbert,sbert,0.7625,0.7664,0.7625,0.8966,0.9386,25.1178,0.1355
